 { id: 1, name: "Auctor gravida enim", originalPrice: 100, salePrice: 80, imageUrl: "/path/to/images.jpg", isOnSale: false, size: "20 Inch", family: "red apple", colour: "green", category: "Indoor Plants", description: "This is a great piece of furniture." },
  { id: 2, name: "Auctor sem", originalPrice: 200, salePrice: 100, imageUrl: "/path/to/images.jpg", isOnSale: true, size: "10 Inch",family: "red apple", colour: "green", category: "Trees & Climbers", description: "An amazing electronics product.An amazing electronics product.An amazing electronics product.An amazing electronics product" },
  { id: 3, name: "Commodo dolor", originalPrice: 300, salePrice: 230, imageUrl: "/path/to/images.jpg", isOnSale: true, size: "16cm",family: "red apple", colour: "green", category: "Trees & Climbers", description: "Comfortable and stylish clothing." },
  { id: 4, name: "Auctor gravida enim", originalPrice: 400, salePrice: 320, imageUrl: "/path/to/med.jpg", isOnSale: true, size: "16cm",family: "red apple", colour: "green", category: "Fertilizers", description: "This is a great piece of furniture." },
  { id: 5, name: "Auctor sem", originalPrice: 500, salePrice: 360, imageUrl: "/path/to/images.jpg", isOnSale: true, size: "16cm",family: "red apple", colour: "green", category: "Vegitables", description: "An amazing electronics product." },
  { id: 6, name: "Commodo dolor", originalPrice: 600, salePrice: 520, imageUrl: "/path/to/med.jpg", isOnSale: true, size: "10cm",family: "red apple", colour: "green", category: "Fertilizers", description: "Comfortable and stylish clothing." },
  { id: 7, name: "Commodo dolor", originalPrice: 700, salePrice: 650, imageUrl: "/path/to/images.jpg", isOnSale: true, size: "16cm",family: "red apple", colour: "green", category: "Fruit Trees", description: "Comfortable and stylish clothing." },
  { id: 8, name: "Auctor gravida enim", originalPrice: 850, salePrice: 800, imageUrl: "/path/to/med.jpg", isOnSale: true, size: "16cm",family: "red apple", colour: "green", category: "Flowers", description: "This is a great piece of furniture." },
  { id: 9, name: "Auctor sem", originalPrice: 720, salePrice: 500, imageUrl: "/path/to/images.jpg", isOnSale: true, size: "16cm",family: "red apple", colour: "green", category: "Fruit Trees", description: "An amazing electronics product." },
  { id: 10, name: "Commodo dolor", originalPrice: 670, salePrice: 590, imageUrl: "/path/to/med.jpg", isOnSale: true, size: "10cm",family: "red apple", colour: "green", category: "Outdoor Plants", description: "Comfortable and stylish clothing." },
  { id: 11, name: "Commodo dolor", originalPrice: 350, salePrice: 250, imageUrl: "/path/to/seed.jpg", isOnSale: true, size: "10cm",family: "red apple", colour: "green", category: "Seeds", description: "Comfortable and stylish clothing." },
